id,numpos,bytes,fen,dtm
KQRKBB,2656136340,618877718,8/8/6R1/7b/8/2k5/Q4b2/3K4 w - - ,161
KQRKRB,5312272680,1342114414,8/R7/6Q1/8/3b4/8/1K1k4/5r2 w - - ,141
KQRKQB,5312272680,1503167004,8/7Q/8/8/4q3/8/2k4K/R6b w - - ,177
KQRKRR,2656136340,754561489,7R/Q7/8/8/8/8/8/1k1rKr2 w - - ,113
KQRKQR,5312272680,1946055185,3q4/R7/8/Q2r4/8/3k4/8/5K2 w - - ,233
KQRKQQ,2656136340,930868177,q7/7K/3q4/7R/8/8/5Q2/1k6 w - - ,159
KRKNNN,973025640,20025852,8/1R2n3/8/8/8/8/n7/k1K3n1 w - - ,81
KRKBNN,2919076920,156166223,7n/6R1/8/8/8/3b4/2K5/k5n1 w - - ,81
KRKRNN,2919076920,766851169,8/rR6/8/8/8/8/2nK2n1/k7 w - - ,81
KRKQNN,2919076920,887596346,7n/6R1/8/8/8/3q4/2K5/k5n1 w - - ,81
KRKBBN,2919076920,667247069,8/8/n7/8/8/1K6/Rb4b1/1k6 w - - ,79
KRKRBN,5838153840,1924361662,8/8/n7/8/8/1K6/Rr4b1/1k6 w - - ,79
KRKQBN,5838153840,2099827250,8/8/n7/8/8/1K6/Rq4b1/1k6 w - - ,79
KRKRRN,2919076920,798945851,8/n7/7R/8/1r6/1Kr5/8/2k5 w - - ,79
KRKQRN,5838153840,1743449276,8/n7/7R/8/1r6/1Kq5/8/2k5 w - - ,79
KRKQQN,2919076920,866170744,8/8/8/7n/8/4K3/8/q2k1qR1 w - - ,77
KRKBBB,973025640,274649404,8/8/8/bbR5/8/3K4/8/1k4b1 w - - ,61
KRKRBB,2919076920,942292221,8/8/8/brR5/8/3K4/8/1k4b1 w - - ,61
KRKQBB,2919076920,991278140,8/8/8/bqR5/8/3K4/8/1k4b1 w - - ,61
KRKRRB,2919076920,843632655,8/8/8/1R6/8/8/2r5/k1Kr2b1 w - - ,53
KRKQRB,5838153840,1678518106,8/8/8/1R6/8/8/2q5/k1Kr2b1 w - - ,53
KRKQQB,2919076920,812222412,q7/8/8/8/8/b2K4/R7/q2k4 w - - ,51
KRKRRR,973025640,269271200,8/8/1R6/1r6/1r6/1r6/8/k1K5 w - - ,7
KRKQRR,2919076920,735235139,8/8/1R6/4q3/1r6/1r6/8/k1K5 w - - ,7
KRKQQR,2919076920,614216253,8/8/1R6/4q3/3q4/1r6/8/k1K5 w - - ,7
